   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
4000,ΧΩΡΙΟ ΑΣΤΕΡΙΩΝ,0458Κ032Α0038501,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΣΒΟΡΩΝΑΤΑΛΕΙΒΑΘΟΥΣ,28100,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671042336,Π.ΚΟΥΒΙΕΛΟΣ Α.Ξ.Τ.Ε.,Π.ΚΟΥΒΙΕΛΟΣ Α.Ξ.Τ.Ε.,2005,78,29
4001,"""ΑΛΜΥΡΑ""",0458Κ013Α0037801,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΦΙΣΚΑΡΔΟΕΡΙΣΟΥ,28084,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,info@almyrafiskardo.gr,2674041064,ΔΕΝΔΡΙΝΟΣ ΠΟΛΥΧΡΟΝΗΣ,ΔΕΝΔΡΙΝΟΣ ΠΟΛΥΧΡΟΝΗΣ,2006,58,25
4002,ΑΝΑΤΟΛΗ ΙΝ,0458Κ013Α0081800,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΚΟΥΝΤΟΥΡΑΤΑΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,sunriseinn@otenet.gr,26710 69014,ΣΤΑΒΕΡΗΣ Δ. ΑΝΔΡΕΑΣ Α.Ξ.Ε.Τ.Ε,ΣΤΑΒΕΡΗΣ Δ. ΑΝΔΡΕΑΣ Α.Ξ.Ε.Τ.Ε,1989,55,30
4003,ΕΝΝΕΑ ΜΟΥΣΕΣ,0458Κ013Α0115400,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΣΚΑΛΑΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,info@9museshotel.com,26710 83563,ΑΝΩΝΥΜΗ ΞΕΝ/ΚΗ κ ΤΟΥΡ/ΚΗ ΕΤΑΙΡΙΑ ΙΟΝΙΑΝ ΣΤΑΡ,ΑΝΩΝΥΜΗ ΞΕΝ/ΚΗ κ ΤΟΥΡ/ΚΗ ΕΤΑΙΡΙΑ ΙΟΝΙΑΝ ΣΤΑΡ,1999,177,81
4004,ΗΡΙΝΝΑ,0458Κ013Α0081000,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΣΒΟΡΩΝΑΤΑΛΕΙΒΑΘΟΥΣ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,irinnahotelirinna@hotmail.com,26710 41488-9,ΑΕ ΗΡΙΝΝΑ ΤΟΥΡ.κ ΞΕΝ. ΕΠΙΧ/ΣΕΙΣ,ΑΕ ΗΡΙΝΝΑ ΤΟΥΡ.κ ΞΕΝ. ΕΠΙΧ/ΣΕΙΣ,1974,321,169
4005,ΘΑΛΑΣΣΑ ΙΟΝΙΟΥ-ΙΟΝΙΑΝ ΣΙ,0458Κ013Α0083600,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΚΟΥΝΟΠΕΤΡΑ ΜΑΝΤΖΑΒΙΝΑΤΩΝΠΑΛΙΚΗΣ,282 00,ΚΕΦΑΛΟΝΙΑΣ,ΠΑΛΙΚΗΣ,,26710 92280,"""ΑΕ Ξ.Τ.Ε. ΚΟΥΝΟΠΕΤΡΑ-""""IONIAN SEA""""""","""ΑΕ Ξ.Τ.Ε. ΚΟΥΝΟΠΕΤΡΑ-""""IONIAN SEA""""""",1983,181,89
4006,"""ΚΟΛΠΟΣ ΦΙΣΚΑΡΔΟΥ-FISKARDO BAY""",0458Κ013Α0037701,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΦΙΣΚΑΡΔΟΕΡΙΣΟΥ,28084,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,sales@fiscardobay.com,2674041295,ΒΑΝΔΩΡΟΣ ΚΑΙ ΣΙΑ Ο.Ε.,"ΒΑΝΔΩΡΟΣ ΝΙΚ.&ΔΕΣΠ., ΚΟΥΤΟΥΠΗΣ Ν.& ΑΝ.,ΜΠΑΡΖΟΥΚΑΣ",2008,22,11
4007,ΜΠΛΕ ΟΡΙΖΟΝΤΑΣ,0458Κ013Α0081100,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΣΒΟΡΩΝΑΤΑΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,info@bluehorizon-hotel.gr,26710 41178,ΒΑΡΔΑΡΑΜΑΤΟΣ-ΑΓΓΕΛΑΤΟΣ-ΝΙΚΟΛΑΙΔΗΣ Α.Ε.Ξ.Τ.Ε.,ΒΑΡΔΑΡΑΜΑΤΟΣ-ΑΓΓΕΛΑΤΟΣ-ΝΙΚΟΛΑΙΔΗΣ Α.Ε.Ξ.Τ.Ε.,1995,61,34
4008,ΞΕΝ/ΧΕΙΟ ΓΟΝΑΤΑΣ-HOTEL GONATAS.,0458Κ013Α0079600,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΑΓ.ΕΥΦΗΜΙΑ ΚΕΦ/ΝΙΑΣΠΥΛΑΡΕΩΝ,280 81,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,,26740 61500-3,ΞΕΝ.ΤΟΥΡ.ΕΜΠ.ΒΙΟΤΕΧ.ΕΠΙΧ.ΑΦΟΙ ΓΟΝΑΤΑ ΑΕ,ΞΕΝ.ΤΟΥΡ.ΕΜΠ.ΒΙΟΤΕΧ.ΕΠΙΧ.ΑΦΟΙ ΓΟΝΑΤΑ ΑΕ,1993,41,21
4009,ΠΑΝΑΣ,0458Κ013Α0083400,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΣΠΑΡΤΙΑΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,panasg@otenet.gr,26710 69505-6,Ε.Π.Ε. ΠΑΝΑ ΜΠΑΓΚΑΛΟΟΥΣ,ΠΑΡΑΣΚΕΥΗ ΠΑΝΑ,1989,63,37
4010,ΠΑΡΑΛΙΑ ΚΑΡΑΒΑΔΟΣ,0458Κ013Α0078200,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΚΑΡΑΒΑΔΟΣΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,info@kbhotel.gr,26710 69400,ΑΕ ΣΤΑΜΑΤΕΛΑΤΟΣ ΚΑΡΑΒΑΔΟΣ ΞΕΝ.κ ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ,ΑΕ ΣΤΑΜΑΤΕΛΑΤΟΣ ΚΑΡΑΒΑΔΟΣ ΞΕΝ.κ ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ,1991,152,78
4011,ΠΕΡΙΚΛΗΣ,0458Κ013Α0079200,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΣΑΜΗ ΚΕΦ/ΝΙΑΣΣΑΜΗΣ,280 80,ΚΕΦΑΛΟΝΙΑΣ,ΣΑΜΗΣ,,26740 22780,ΑΕ ΑΦΟΙ Π.ΡΑΣΣΙΑ Ξ.Ε.Τ.Ε,ΑΕ ΑΦΟΙ Π.ΡΑΣΣΙΑ Ξ.Ε.Τ.Ε,1990,171,86
4012,ΠΛΑΤΕΙΑ ΙΟΝΙΟΥ-IONIAN PLAZA,0458Κ013Α0075300,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑΑΡΓΟΣΤΟΛΙΟΥ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,info@ionianplaza.com,26710 25581,ΙΟΝΙΑΝ ΠΛΑΖΑ Α.Ε,ΙΟΝΙΑΝ ΠΛΑΖΑ Α.Ε,1993,86,43
4013,ΠΡΙΓΚΙΠΙΣΣΑ - PRINCESS,0458Κ013Α0112100,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΛΑΣΣΗΑΡΓΟΣΤΟΛΙΟΥ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,info@princesshotel.gr,26710 25591-2,ΚΡΗΤΗ ΣΚΛΑΒΟΥΝΟΥ Α.Ξ.Ε.,ΚΡΗΤΗ ΣΚΛΑΒΟΥΝΟΥ Α.Ξ.Ε.,1995,73,38
4014,ΣΑΜΗ ΜΠΗΤΣ,0458Κ013Α0079300,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,3Α,ΣΑΜΗ ΚΕΦ/ΝΙΑΣΣΑΜΗΣ,280 80,ΚΕΦΑΛΟΝΙΑΣ,ΣΑΜΗΣ,info@samibeachhotel.gr,26740 22824,ΑΕ ΞΕΝ/ΚΑΙ κ ΤΟΥΡ/ΚΑΙ ΕΠΙΧ/ΣΕΙΣ ΑΦΟΙ ΔΟΡΙΖΑ,ΑΕ ΞΕΝ/ΚΑΙ κ ΤΟΥΡ/ΚΑΙ ΕΠΙΧ/ΣΕΙΣ ΑΦΟΙ ΔΟΡΙΖΑ,1988,93,49
4015,ΑΚΤΗ ΑΒΥΘΟΣ,0458Κ033Α0000101,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΣΒΟΡΩΝΑΤΑΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,info@avithosresort.com,26710/42365,ΚΟΚΚΟΛΗΣ ΤΑΞΙΔΙΑ Α.Ε.,ΚΟΚΚΟΛΗΣ ΤΑΞΙΔΙΑ Α.Ε.,2005,106,52
4016,ΑΜΜΕΣ,0458Κ033Α0030801,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΣΒΟΡΩΝΑΤΑ,28100,ΚΕΦΑΛΟΝΙΑΣ,,ammes@otenet.gr,2671041809,ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ Ν. ΠΑΠΑΝΤΩΝΙΟΥ ΑΜΜΕΣ Α.Ε,ΞΕΝ.ΤΟΥΡ. ΕΠΙΧ/ΣΕΙΣ Ν. ΠΑΠΑΝΤΩΝΙΟΥ ΑΜΜΕΣ Α.Ε.,1995,78,39
4017,ΓΕΡΑΣΙΜΟΣ - ΚΩΣΤΑΣ,0458Κ033Α0109701,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΑΓΙΑ ΕΥΦΗΜΙΑΠΥΛΑΡΕΩΝ,28081,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,spirosal@hol.gr,267406141-61590,ΑΛΥΣΑΝΔΡΑΤΟΣ ΣΠΥΡΙΔΩΝ ΤΟΥ ΓΕΡΑΣΙΜΟΥ,ΑΛΥΣΑΝΔΡΑΤΟΣ ΣΠΥΡΙΔΩΝ ΤΟΥ ΓΕΡΑΣΙΜΟΥ,,16,4
4018,"""ΕΝΑΛΙΟΝ ΣΟΥΙΤΕΣ - ENALION SUITES""",0458Κ033Α0026201,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΠΑΛΙΟΣΤΑΦΙΔΑ -ΛΑΣΣΗΣΑΡΓΟΣΤΟΛΙΟΥ,28100,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,info@enalionsuites.gr,2671027781,"""Α.& Ε. Χ. ΣΤΡΙΝΤΖΗΣ ΞΕΝ/ΚΕΣ ΤΟΥ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΕΠΕ","""Α. & Ε.Χ. ΣΤΡΙΝΤΖΗΣ ΞΕΝ/ΚΕΣ ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΕΠ",2007,90,28
4019,"""ΕΥΑΓΓΕΛΙΑ""",0458Κ033Α0038401,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΑΓΙΑ ΕΥΦΗΜΙΑΠΥΛΑΡΕΩΝ,28081,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,alysand@otenet.gr,2674061590,ΑΛΥΣΑΝΔΡΑΤΟΣ ΓΑΒΡΙΗΛ,ΑΛΥΣΑΝΔΡΑΤΟΣ ΓΑΒΡΙΗΛ,2008,17,5
4020,ΘΟΔΩΡΑ,0458Κ033Α0078600,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΣΑΜΗ ΚΕΦ/ΝΙΑΣΣΑΜΗΣ,280 80,ΚΕΦΑΛΟΝΙΑΣ,ΣΑΜΗΣ,,26740 22650,ΑΕ ΝΙΚ κ ΠΑΝ ΠΑΝΤΕΛΑΤΟΣ ΞΕΝ κ ΤΟΥΡ. ΕΠΙΧ/ΣΕΙΣ,ΑΕ ΝΙΚ.κ ΠΑΝ.ΠΑΝΤΕΛΑΤΟΣ ΞΕΝ κ ΤΟΥΡ. ΕΠΙΧ/ΣΕΙΣ,1993,37,14
4021,ΜΕΓΑΛΟ ΧΩΡΙΟ- BIG VILLAGE,0458Κ033Α0119501,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΣΚΑΛΑΕΛΕΙΟΥ - ΠΡΟΝΩΝ,28082,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,2671083649,ΔΗΜΗΤΡ. & ΚΥΡΙΑΚΗΣ ΖΑΠΑΝΤΗΣ ΑΞΤΕΕ,ΔΗΜΗΤΡΙΟΣ & ΚΥΡΙΑΚΗΣ ΖΑΠΑΝΤΗΣ,2011,40,18
4022,ΜΕΛΥΔΡΟΝ,0458Κ033Α0005601,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΣΚΑΛΑΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,info@melidron.gr,26710-83316,ΠΟΛΥΤΡΟΠΟΣ  Α.Τ.Ε.,ΠΟΛΥΤΡΟΠΟΣ  Α.Τ.Ε.,2004,33,15
4023,ΜΟΥΝΤΑ ΜΠΗΤΣ,0458Κ033Α0082600,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,info@moundabeach.gr,26710 83151-2,ΜΟΥΝΤΑ ΜΠΗΤΣ ΑΞΤΕ,ΜΟΥΝΤΑ ΜΠΗΤΣ ΑΞΤΕ,1998,19,9
4024,ΝΗΡΗΙΔΕΣ,0458Κ033Α0005301,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΣΚΑΛΑΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26710/83060,ΑΓΓΕΛΑΤΟΥ ΒΑΣΙΛΙΚΗ,ΑΓΓΕΛΑΤΟΥ ΒΑΣΙΛΙΚΗ,2007,57,25
4025,ΣΤΕΛΛΑ,0458Κ033Α0080700,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΦΙΣΚΑΡΔΟ ΚΕΦΑΛ/ΝΙΑΣΕΡΙΣΟΥ,280 84,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,stellapt@otenet.gr,26740 41211,ΑΕ ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ.ΦΙΣΚΑΡΔΟΥ ΚΕΦΑΛ.ΚΑΜΙΝΑΚΙΑ ΜΠΑΙΗ,ΑΕ ΚΑΜΙΝΑΚΙΑ ΜΠΑΙΗ Ξ.Τ.ΕΠΙΧ.ΦΙΣΚΑΡΔΟΥ ΚΕΦΑΛ/ΝΙΑΣ,1991,21,9
4026,ΦΩΤΕΙΝΗ,0458Κ033Α0112601,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,3Α,ΑΓΙΑ ΕΥΦΗΜΙΑΠΥΛΑΡΕΩΝ,28081,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,,2674061552,ΑΛΕΞΑΤΟΣ ΣΠΥΡΙΔΩΝ,ΑΛΕΞΑΤΟΣ ΣΠΥΡΙΔΩΝ,2009,19,5
4027,UTOPIA RESORT-ΟΥΤΟΠΙΑ ΘΕΡΕΤΡΟ,0458Κ014Α0117701,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΚΑΤΕΛΕΙΟΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 86,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,info@utopiahotel.gr,26710-81200,ΔΩΡΙΣ Α.Ξ.Ε.Τ.Τ.Ε.,ΔΩΡΙΣ Α.Ξ.Ε.Τ.Τ.Ε.,2010,133,60
4028,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ-SAN GIORGIO,0458Κ014Α0081900,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΒΛΥΧΟΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,info@sangiorgiohotel.gr,26710 83267,ΣΤΕΛΙΟΣ κ ΚΩΝ/ΝΟΣ ΖΑΠΑΝΤΗΣ Α.Ε.Ξ.Τ.Ε.,ΣΤΕΛΙΟΣ κ ΚΩΝ/ΝΟΣ ΖΑΠΑΝΤΗ Α.Ε.Ξ.Τ.Ε.,1998,306,143
4029,ΕΜΕΛΙΣΣΕ ΑΡΤ ΟΤΕΛ,0458Κ014Α0031501,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΦΙΣΚΑΡΔΟΕΡΙΣΟΥ,280284,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,emelisse@arthotel.gr,2674041200,ΞΕΝ/ΚΕΣ-ΤΟΥΡ/ΚΕΣ-ΕΠΙΧ/ΣΕΙΣ-ΦΙΣΚΑΡΔΟΥ ΚΕΦ/ΝΙΑΣ Α.Ε.,ΞΕΝ/ΚΕΣ-ΤΟΥΡ/ΚΕΣ-ΕΠΙΧ/ΣΕΙΣ ΦΙΣΚΑΡΔΟΥ ΚΕΦ/ΝΙΑΣ Α.Ε.,2003,140,66
4030,ΕΡΙΣΣΟΣ ΠΑΒΙΛΙΟΝ,0458Κ014Α0026101,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΜΑΓΓΑΝΟΣ ΕΡΥΣΣΟΥ -ΦΙΣΚΑΡΔΟΕΡΙΣΟΥ,28084,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,mail@erissospalace.gr,2674041350,ΝΙΚΟΛΑΟΣ ΑΛΥΣΑΝΔΡΑΤΟΣ Α.Ξ.Ε.,ΝΙΚΟΛΑΟΣ ΑΛΥΣΑΝΔΡΑΤΟΣ Α.Ξ.Ε.,2007,26,11
4031,ΚΕΦΑΛΛΟΝΙΑ ΠΑΛΛΑΣ,0458Κ014Α0083700,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,"ΘΕΣΗ:ΞΙ,ΑΚΡΩΤΗΡΙ,ΜΑΝΤΖ/ΤΩΝΠΑΛΙΚΗΣ",282 00,ΚΕΦΑΛΟΝΙΑΣ,ΠΑΛΙΚΗΣ,cphotel@hol.gr,26710 91111,ΑΦΟΙ ΕΥΑΓΓΕΛΑΤΟΥ Α.Ε.Ξ.Τ.Ε.,ΑΦΟΙ ΕΥΑΓΓΕΛΑΤΟΥ Α.Ε.Ξ.Τ.Ε.,1993,406,197
4032,ΜΑΝΟΛΙΑ - MAGNOLIA,0458Κ014Α0183501,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΚΑΤΩ ΚΑΤΕΛΕΙΟΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,28082,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,info@themagnoliaresort.com,2671081391,ΞΕΝ. & ΤΟΥΡ. ΕΠΙΧ. ΠΑΝΑΓΙΩΤΑ ΣΤΡΟΥΤΖΑ ΚΑΙ ΣΙΑ Α.Ε.,ΞΕΝ. & ΤΟΥΡ. ΕΠΙΧ. ΠΑΝΑΓΙΩΤΑ ΣΤΡΟΥΤΖΑ ΚΑΙ ΣΙΑ Α.Ε.,2011,88,44
4033,ΜΕΣΟΓΕΙΟΣ-MEDITERANEE,0458Κ014Α0074200,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΛΑΣΣΗΑΡΓΟΣΤΟΛΙΟΥ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,mediterr@otenet.gr,26710 28760-2,E.T.A.K. AE,E.T.A.K. AE,1973,430,227
4034,ΠΑΛΑΤΙ ΤΟΥ ΚΕΦΑΛΛΟΝΙΤΙΚΟΥ ΚΟΛΠΟΥ-CEFALONIA BAY PALACE,0458Κ014Α0116701,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΑΓΙΑ ΕΥΦΗΜΙΑΠΥΛΑΡΕΩΝ,28081,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,,2674023860,Ξ.Τ.Ε. ΘΕΟΔΩΡΟΣ ΤΑΣΙΟΥΛΑΣ Α.Ε. CEFALONIA BAY PALACE,Ξ.Τ.Ε. ΘΕΟΔΩΡΟΣ ΤΑΣΙΟΥΛΑΣ Α.Ε. CEFALONIA BAY PALACE,2010,101,48
4035,ΠΟΡΤΟ ΣΚΑΛΑ,0458Κ014Α0082900,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,4Α,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,info@portoskala.com,26710 83501,ΑΤΕ ΕΛΛΗΝΙΚΗ ΦΙΛΟΞΕΝΙΑ,ΑΤΕ ΕΛΛΗΝΙΚΗ ΦΙΛΟΞΕΝΙΑ,1998,148,74
4036,ΑΣΠΡΟΙ ΒΡΑΧΟΙ,0458Κ044Α0073100,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου και Επιπλωμένων Διαμερισμάτων,4Α,ΠΛΑΤΥΣ ΓΙΑΛΟΣΑΡΓΟΣΤΟΛΙΟΥ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,whiterocks@otenet.gr,26710 28332-5,ΑΕ ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΑΣΠΡΟΙ ΒΡΑΧΟΙ,ΑΕ ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΑΣΠΡΟΙ ΒΡΑΧΟΙ,1974,305,163
4037,ΑΣΤΕΡΙΣ,0458Κ034Α0107301,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,4Α,ΣΚΑΛΑΕΛΕΙΟΥ - ΠΡΟΝΩΝ,28082,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,info@asterishotel.gr,2671083021,ΑΣΤΕΡΙΣ ΑΞΕΤΕ,ΑΣΤΕΡΙΣ ΑΞΕΤΕ,2005,72,30
4038,ΟΔΥΣΣΕΙΑ - ODYSSEY,0458Κ034Α0119601,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,4Α,ΑΓΙΑ ΕΥΦΗΜΙΑΠΥΛΑΡΕΩΝ,28081,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,info@hotelodyssey.gr,2674061089,ΓΕΡΑΣ. - ΑΙΚΑΤΕΡ. ΚΑΙ ΔΙΟΝΥΣΙΟΣ ΡΑΥΤΟΠΟΥΛΟΥ ΑΞΤΕΕ,ΓΕΡΑΣΙΜΟ ΚΑΙ ΑΙΚΑΤΕΡΙΝΗ ΡΑΥΤΟΠΟΥΛΟΥ,2011,44,22
